абажур, абажурчик
коммуникативный, коммуникация
комната, комнатный
комнатушечка, комнатушка
комод, комодик
компанейский, компания
компаньон, компаньонский
компенсатор, компенсаторный
комплимент, комплиментарный
комсомол, комсомольский
комсостав, комсоставский
кон, коночный
конармейский, конармия
конвективный, конвекция
коневодство, коневодческий
коник, конь
конический, конус
конкур, конкурный
конкурентный, конкуренция
конногвардеец, конногвардейский
коннозаводский, коннозаводство
коновальский, коновальство
конопатина, конопатинка
конопель, конопельный
коноплеводство, коноплеводческий
конопля, коноплёвый
консерватория, консерваторский
консервный, консервы
консистория, консисторский
конский, конь
конституциональный, конституция
конструктивный, конструкция
контакт, контактовый
контекст, контекстный
континент, континентальный
контора, конторский
контр, контр-адмиральский
контрабанда, контрабандистский, контрабандный
контрапункт, контрапунктический
контрмина, контрминный
контролёр, контролёрский
контрфорс, контрфорсный
конфедеративный, конфедерация
конфедератский, конфедерация
конфорка, конфорочный
конформизм, конформистский
конфуцианский, конфуцианство
концентрат, концентратный
концентричный, концентры
концлагерный, концлагерь
конь, конёк
коньки, коньковый
коньяк, коньячный
конюх, конюший
конюшенный, конюшня
координатный, координаты
копеечка, копейка
копейный, копьё
копийка, копия
копна, копёнка, копённый
копровый, копёр
копулировка, копулировочный
копыто, копытце
копьецо, копьё
корвет, корветный
корд, кордный
корда, кордовый
коревой, корь
корень, корешок, корневой
корж, коржик
корзина, корзиночный
коринка, коринковый
корка, корочный
кормёжка, кормёжный
корневище, корневищный
корнеплодный, корнеплоды
корнесловие, корнесловный
корнет, корнетик, корнетный, корнетский
коробейник, коробейничек
корова, коровий, коровка
короед, короедный
королевский, король
корольковый, королёк
коромысло, коромысловый
корона, коронка
коронка, короночка
короста, коростовый
коростель, коростелёк
корпоративный, корпорация
корпускула, корпускулярный
корсак, корсачий
кортик, кортиковый
корчага, корчажный
корчемный, корчма
корчмарский, корчмарь
коршун, коршуний, коршунок, коршунячий
корытный, корыто
корьевой, корьё
корюшка, корюшковый
коряга, коряжка
коса, косный
косарский, косарь
косач, косачиный
косилка, косилочный
косина, косинка
космический, космос
космодром, космодромный
космонавт, космонавтский
космополитизм, космополитический
косовица, косовичный
косогор, косогорчик
костоеда, костоедный
костолом, костоломный
косточка, кость
костра, костровый
кострец, кострецовый
костровый, костёр
костыль, костылёк
костёл, костёльный
костёр, костёрный
косулий, косуля
косяк, косячный, косячок
кот, коток
котельный, котёл
котики, коты
котловина, котловинка
котловый, котёл
котонизационный, котонизация
коттедж, коттеджик
кофе, кофейный
кофейник, кофейничек
кофешенк, кофешенский
кофта, кофточный
кочан, кочешок
кочевник, кочевнический
кочегар, кочегарский
кочегарка, кочегарный
кочедыжник, кочедыжниковый
кочет, кочетиный, кочеток
кош, кошевой
кошачий, кошка
кошельковый, кошелёк
кошелёк, кошелёчек
кошенилевый, кошениль
кошма, кошмовый, кошомка
кошёлка, кошёлочка
краб, крабий
краевой, край
краешек, край
кралечка, краля
крамольник, крамольнический
крапива, крапивный
крапина, крапинка
красавка, красавушка
краска, красочный
красноармеец, красноармейский
красногвардеец, красногвардейский
красноглинистый, красноглинье
краснозём, краснозёмный
краснорядец, краснорядский
краснотал, красноталовый
краснофлотец, краснофлотский
кратер, кратерный
кремень, кремешок, кремнёвый
кремль, кремлёвский
кремнезём, кремнезёмный
крендель, кренделёк
креол, креольский
крепёж, крепёжный
кресельный, кресло
кресельце, кресло
крестец, крестцовый
крести, крестовый
крестинный, крестины
крестоносец, крестоносный
кретин, кретинский
кречет, кречетий
кривизна, кривинка
кривулька, кривуля
кризис, критический
крилевый, криль
кримплен, кримпленовый
криница, криничка, криничный
кринка, криночка
кринолин, кринолиновый
криптографический, криптография
кристалл, кристаллический
критика, критический
крица, кричный
кровелька, кровля
кровельный, кровля
кровоподтёк, кровоподтёчный
кроильный, кройка
кролик, кроличий
кролиководство, кролиководческий
кромка, кромочка
крона, кроновый
кросс, кроссовый
крохобор, крохоборный, крохоборческий
круг, кружок
кругляш, кругляшок
кружева, кружевной
кружковой, кружок
круп, крупозный
крупа, крупяной
крупчатка, крупчатный
крыжовенный, крыжовник
крылечный, крыльцо
крыльцо, крыльцовый
крынка, крыночка
крюк, крюковой
крючковой, крючок
крючкотворский, крючкотворство
крючок, крючочек
кряж, кряжик
крякуша, крякушка
ксендзовский, ксёндз
ксенон, ксеноновый
ксерографический, ксерография
ксерокс, ксероксный
ктитор, ктиторский
ку, ку-клукс-клановский
куб, кубик, кубический, кубовой
кувшинка, кувшинковый
куды, кудыкин
кузнец, кузнецкий, кузнечий, кузнечный
кузница, кузничный
кузов, кузовок
кукла, куклёнок
кукурузоводство, кукурузоводческий
кукушечий, кукушка
кулак, кулацкий, кулачишко, кулачный
кулевой, куль
кулик, куличий
кулинария, кулинарный
кулисный, кулисы
кулич, куличик
кулон, кулончик
кулуарный, кулуары
куль, кулёк
культиватор, культиваторный
кулёк, кулёчный
кумир, кумирный
кумулятивный, кумуляция
кунак, кунацкий
кунгас, кунгасный
куний, куница
кунктатор, кунктаторский
купаленка, купальня
купальник, купальничек
купель, купельный
купец, купцовский
куплет, куплетик
купол, куполок
купон, купончик
куратор, кураторский
курган, курганчик
курдюк, курдючный, курдючок
курень, куренёк
куриальный, курия
куркума, куркумовый
куроводство, куроводческий
курок, курочек
куропатка, куропатковый, куропаточий, куропаточка
курпей, курпейчатый
курс, курсовой
курсовка, курсовочный
куртина, куртинка
курфюрст, курфюрстский
куры, курятный
куст, кусток
кустарник, кустарничек
кутейник, кутейный
кутейный, кутья
кутёж, кутёжный
кухарка, кухарочный
кухмистерская, кухмистерский
кухня, кухонный, кухонька
куча, кучевой
кушетка, кушеточка
лаборатория, лабораторный
лабрадор, лабрадоровый
лава, лавовый
лаванда, лавандовый
лаваш, лавашный
лавина, лавинка, лавинный
лавка, лавочный
лавочник, лавочнический
лавра, лаврский
лавровишневый, лавровишня
лагуна, лагунный
ладанник, ладанниковый
ладейный, ладья
ладонка, ладонь
ладоши, ладошки, ладошный
лаж, лажный
лаз, лазок
лазеечка, лазейка
лазурит, лазуритовый
лайка, лайковый
лакколит, лакколитовый
лакричник, лакричный
лал, лаловый
ламаизм, ламаитский
лампа, ламповый
лампада, лампадный
лампадка, лампадочка, лампадочный
ландграф, ландграфский
ландскнехт, ландскнехтский
ландыш, ландышевый
ланитный, ланиты
ланка, ланочка
лапа, лапочка, лапушка
лапоток, лапоть
лапша, лапшичка, лапшовый
ларевой, ларь
ларец, ларчик
ларингоскопический, ларингоскопия
ларингофон, ларингофонный
ларь, ларёчный
ларьковый, ларёк
ларёк, ларёчек
ласт, ластовый
латка, латочка
латный, латы
лачуга, лачужка, лачужный
лебеда, лебедовый
лебедь, лебяжий
лебёдка, лебёдочный
левак, левацкий
левантин, левантиновый
левкас, левкасный
левкоевый, левкой
левретка, левреточный
легенда, легендарный
легионер, легионерский
леденец, леденцовый, леденчик
леденцово, леденцовый
ледник, ледничек, ледничок
ледокол, ледокольный
ледолом, ледоломный
ледопад, ледопадный
ледоплав, ледоплавный
ледорез, ледорезный
ледостав, ледоставный
ледяной, лёд
леер, леерный
леечный, лейка
лежанка, лежаночка, лежаночный
лежбище, лежбищный
лежень, лежневой
лезвие, лезвийный
лейб, лейб-гвардейский
лейкоз, лейкозный
лейтенант, лейтенантик
лейтмотив, лейтмотивный
лекало, лекальный
лекарский, лекарь
лексикон, лексиконный, лексикончик
лемех, лемеховый
лемеш, лемешный
лен, ленный
лентяй, лентяйский
лепра, лепровый
лепёшечка, лепёшка
лепёшечный, лепёшка
лесина, лесинка
лесник, лесниковый
леснический, лесничий
лесоводство, лесоводческий
лесозавод, лесозаводский
лесозаготовительный, лесозаготовки
лесокомбинат, лесокомбинатовский
лесомелиоративный, лесомелиорация
лесопилка, лесопильный
лесоповал, лесоповальный
лесопогрузка, лесопогрузочный
лесоруб, лесорубский
лесоторговля, лесоторговый
лесотундра, лесотундровый
лесоустроительный, лесоустройство
лесоэксплуатационный, лесоэксплуатация
леспромхоз, леспромхозовский
лестница, лестничка, лестничный
лесхоз, лесхозный
летний, лето
лечебный, лечение
лешак, лешачий
лещ, лещик
лещина, лещиновый
лиана, лиановый
либерализм, либеральный
ливень, ливневый
ливрейный, ливрея
лига, лиговый
лигатура, лигатурный
лигнин, лигниновый
лигнит, лигнитный
лигроин, лигроиновый
лизин, лизиновый
ликбез, ликбезовский
ликтор, ликторский
ликёр, ликёрный
лилейный, лилияи
лилипут, лилипутик
лимон, лимончик
лимузин, лимузинный
лимфа, лимфатический, лимфозный
линеечный, линейка
линейный, линия
линейчатый, линия
линеметательный, линемёт
линемёт, линемётный
линийка, линия
линолеум, линолеумный
линь, линёк
липа, липка
лиса, лисий
листвяг, листвяговый
листобой, листобойный
листопад, листопадный
литаврный, литавры
литература, литературный
литник, литниковый
литография, литографский
литологический, литология
литораль, литоральный
литосфера, литосферный
литровка, литровочный
литьё, отливной
лиф, лифчик
лихач, лихаческий
лихва, лихвенный
лихоимный, лихоимство
лицедей, лицедейский
лицеист, лицеистик
лицемерие, лицемерный
лицо, личной, личный
лишай, лишайный
лишайник, лишайниковый
лобан, лобаний
лобби, лоббистский
ловелас, ловеласовский
ловец, ловецкий
ловильный, ловля
лог, ложок
логарифм, логарифмический
логовина, логовинка
лодка, лодочка
лодыжка, лодыжный
ложбина, ложбинный
ложе, ложевой
ложечки, ложки
ложечный, ложка
ложноклассицизм, ложноклассический
лоза, лозовый
лозина, лозинка, лозиновый
лозник, лозниковый
лозняк, лознячок
локатор, локаторный
локон, локончик
локоть, локтевой
лом, ломик
ломота, ломотца
лопата, лопатный
лопух, лопуховый
лорнет, лорнетный
лоскут, лоскутик, лоскутный
лоскутковый, лоскуток
лосось, лососёвый
лот, лотовый
лото, лотошный
лоханочный, лохань
лошадиный, лошадь
лошак, лошачий, лошачок
лощина, лощинка
луб, лубочный, лубяной
лубковый, лубок
луговина, луговинка
луговодство, луговодческий
лук, лучок
лукошечко, лукошко
лунатизм, лунатический
лунка, луночка, луночковый
луноход, луноходный
луч, лучевой, лучик
лучина, лучинка, лучиночный
лыжи, лыжный
лыко, лыковый, лычко, лычный
лысина, лысинка
льноводческий, льноводчество
льновый, лён
льняной, лён
люди, людской
люминесцентный, люминесценция
люмпен, люмпенский
люпин, люпиновый
люстра, люстровый
люстрационный, люстрация
лютневый, лютня
люфа, люфовый
люффа, люффовый
люцерна, люцерновый
люэс, люэтический
лягушечий, лягушка
лягушечка, лягушка
лядина, лядинка
лямка, лямочка
лёгкие, лёгочный
лёсс, лёссовый
магараджа, магараджский
магистерский, магистр
магма, магматический
магнетизм, магнетический
магнетизёр, магнетизёрский
магнетит, магнетитовый
магнетрон, магнетронный
магнитосфера, магнитосферный
магнолиевый, магнолия
мадригал, мадригальный
мазанка, мазанковый
маздеизм, маздеистский
мазевый, мазь
мазер, мазерный
мазок, мазочек
мазурик, мазурнический
майолика, майоликовый
макание, макательный
макаронный, макароны
маквис, маквисовый
макиавеллевский, макиавеллизм
маклак, маклацкий
макрелевый, макрель
макроклимат, макроклиматический
макрокосм, макрокосмический
макроструктура, макроструктурный
макулатура, макулатурный
макушечный, макушка
малица, маличный
малыш, малышовый, малышок
малышка, малышковый
мальва, мальвовый
мальковый, малёк
мальтоза, мальтозный
мальчик, мальчонка
мальчишеский, мальчишка
малявка, малявочка
маляр, малярский
малярийный, малярия
мамелюк, мамелюкский
мамочка, мамочкин
манатейный, манатья
манглевый, мангль
манго, манговый
мангрова, мангровый
мандарин, мандаринчик
мандолина, мандолинный
мандрагора, мандрагоровый
маневровый, манёвры
манеж, манежик
манжета, манжетный
манипулятор, манипуляторный
манифестационный, манифестация
манишечный, манишка
манометр, манометрический
мансарда, мансардный
мантийный, мантия
мануфактура, мануфактурный
манчестерский, манчестерство
маразматик, маразматический
марал, маралий, мараловый
мараловодство, мараловодческий
маранта, марантовый
марганец, марганцевый
маргиналии, маргинальный
маревный, марево
марево, маревый
маревый, марь
марена, мареновый
маристый, марь
марка, марочка
марказит, марказитовый
маркер, маркерный
маркировка, маркировочный
маркитантский, маркитантство
марксизм, марксистско-ленинский
маркшейдерский, маркшейдерство
маркёр, маркёрный, маркёрский
мармор, марморный
мародёр, мародёрский
марс, марсовой
марселин, марселиновый
мартен, мартеновский
мартинизм, мартинистский
марш, маршевый, маршик
маршал, маршальский
маршевик, маршевый
маслина, маслиновый
маслоделие, маслодельный
маслозавод, маслозаводской
масса, массный
мастер, мастерок
мастика, мастиковый
мат, матерный, матовый
математика, математический
материал, материальный
материализм, материалистический, материалистский
материальный, материя
материнский, мать
матерщина, матерщинный
матица, матичный
матриархальный, матриархат
матрос, матросик
матч, матчевый
маузер, маузерный
мафиозный, мафия
мах, маховой
махновский, махновщина
махотка, махоточка
мачта, мачтовый
маштак, маштачок
маюскулы, маюскульный
меандр, меандрический
мегалит, мегалитический
медаль, медалька
медальон, медальонный, медальончик
медведик, медведь
медведь, медвежий
медиеваль, медиевальный
медикаментозный, медикаменты
медицина, медицинский
медник, медницкий
медовый, мёд
междометие, междометный
междоусобие, междоусобный
междуречный, междуречье
междурядный, междурядье
межеумок, межеумочный
мезенхима, мезенхимный
мезодерма, мезодермический
мезон, мезонный
мезонин, мезонинный, мезонинчик
меланж, меланжевый
меленка, мельница
мелиоративный, мелиорация
мелкозём, мелкозёмистый
мелколесный, мелколесье
мелодрама, мелодраматический
меломанический, меломания
мельница, мельничка
мембрана, мембранный
мемуарный, мемуары
мена, меновой
мензула, мензульный
мензура, мензуральный
менонитский, менониты
менструальный, менструация
менуэт, менуэтный
мера, мерочка, мерочный
меридиан, меридиональный
меристема, меристематический
меркантилизм, меркантилистический, меркантильный
мерлушка, мерлушковый
мерсеризационный, мерсеризация
мертвец, мертвецкий
мерёжа, мерёжный
месмеризм, месмерический
местечко, местечковый
место, уместный
метагалактика, метагалактический
металлография, металлографский
метастаз, метастатический
метафора, метафоричный
метацентр, метацентрический
метельный, метла
метизный, метизы
метина, метинка
метис, метисный
метка, меточка
метол, метоловый
метр, метрический
метроном, метрономический
метёлка, метёлочка, метёлочный
механистический, механицизм
механистичный, механицизм
механистский, механицизм
меццо, меццо-сопрановый
мечетный, мечеть
мещане, мещанский
мигреневый, мигрень
миелин, миелиновый
мизинец, мизинный, мизинцевый
микроклимат, микроклиматический
микропроцессор, микропроцессорный
микротом, микротомный
микст, микстовый
милитаризм, милитаристический
милицейский, милиция
миллиардер, миллиардерский
миллион, миллиончик
милостивый, милость
милостынный, милостыня
мимоза, мимозовый
минарет, минаретный
миниатюра, миниатюрный
минога, миноговый, миножий
миномёт, миномётный
минускулы, минускульный
минёр, минёрный
мир, мирный, мирской
мирика, мириковый
миросозерцание, миросозерцательный
миротворец, миротворческий
мирра, мирровый
миссионерный, миссионерство
мистификаторский, мистификация
миткалевый, миткаль
митрополит, митрополичий
миф, мифический
младенец, младенческий, младенчик
мнемотехника, мнемотехнический
многобрачие, многобрачный
многополье, многопольный
модель, моделька
модернизаторский, модернизация
модистка, модисточка
модификационный, модификация
можжевеловый, можжевельник
можжуха, можжуховый
молебен, молебный
молевый, моль
молекула, молекулярный
моллюски, моллюсковый
молодец, молодецкий
молодёжный, молодёжь
молот, молотовой
молотилка, молотильный
молоток, молоточек
молочай, молочайный
моль, мольный, молярный
мольба, умоляющий
монарх, монарший
монастырский, монастырь
монастырь, монастырёк
монах, монашеский, монаший
монацит, монацитовый
мондиализм, мондиалистский
монетаризм, монетаристский
монизм, монистический
моногамия, моногамный
монокристалл, монокристаллический
монолог, монологический
монометаллизм, монометаллический
монополизм, монополистический
монополия, монопольный
монотеизм, монотеистический
монофтонг, монофтонгический
монохорд, монохордовый
монтаньярский, монтаньяры
монтёр, монтёрский
монумент, монументный
монументально, монументальный
мор, моровой
моралистический, мораль
морена, моренный
мормонизм, мормонский
мороз, морозик
морошка, морошковый
морфин, морфинный
морфонологический, морфонология
моряк, моряцкий
московка, московочка
мослак, мослачок
мосол, мосолок
мосток, мосточек
мостолыга, мостолыжка
мот, мотовской
мотобол, мотобольный
мотовило, мотовильце
мотовоз, мотовозный
мотор, моторный
мотоцикл, мотоциклетный
мотыга, мотыжный
мотыльковый, мотылёк
мотылёк, мотылёчек
мох, моховой
моча, мочевой
мочажина, мочажинный
мочалка, мочалковый
мочало, мочальный
моченька, мочь
мочка, мочковый
мошкара, мошкариный
муар, муар-антиковый
муж, мужественный, мужний
мужененавистнический, мужененавистничество
мужик, мужицкий, мужичий
мужской, мужчина
музыка, музыкальный
музыкант, музыкантик
мука, мучной
мул, мулиный
муллит, муллитовый
мундир, мундирчик
мундштук, мундштучок
муниципалитет, муниципальный
мурава, муравый
муравей, муравьиный, муравьишка
мускулы, мускульный
муслин, муслин-де-леневый, муслин-де-леновый
мутагенный, мутация
мутант, мутантный
мутовка, мутовочный
мутон, мутоновый
муха, мушиный, мушка
мучительский, мучительство
мушкет, мушкетный
мушкетон, мушкетонный
мушкетёр, мушкетёрский
мыленка, мыльня
мыло, мыльце
мыс, мысик, мысок
мыслительный, мышление
мыт, мытный
мышечный, мышцы
мюзик, мюзик-холльный
мякотный, мякоть
мялка, мяльный
мясной, мясо
мятеж, мятежнический
мятлик, мятликовый
наблюдательность, наблюдательский
набоечный, набойка
набойка, набойный
наборщик, наборщицкий
навага, наважий
навес, навесик
навий, навь
навоз, навозец
навой, навойный
наволочка, наволочный
наволочный, наволочь
нагаечка, нагайка
нагаечный, нагайка
наглеца, наглость
нагноение, нагноительный
награда, наградной
надгробие, надгробный
надел, надельный
надкостница, надкостничный
надрез, надрезец
надстроечный, надстройка
название, названьице
называние, назывательный
наймит, наймитский
найтов, найтовный
накидка, накидочка
накладка, накладочка
наклеечка, наклейка
наковаленка, наковальня
наколка, наколочка
нактоуз, нактоузный
налим, налимий
намордник, намордничек
намётка, намёточный
нанимание, нанимательский
нанка, нанковый
нансук, нансуковый
напилок, напилочек
напилочный, напильник
напильник, напильничек
напряжение, напряжённый
напутственный, напутствие
напёрсток, напёрсточек, напёрсточный
наречие, наречный
нарзан, нарзанчик
нарком, наркомовский
наркотики, наркотический
наркотин, наркотиновый
народоведение, народоведческий
народолюбивый, народолюбие
народонаселение, народонаселенческий
народоправие, народоправческий
нарпит, нарпитовский
нартенный, нарты
наседка, наседочка
наследственный, наследство
насмешечка, насмешка
насос, насосик
наст, настовый
настил, настилочный
настоечка, настойка
настоечный, настойка
нативизм, нативистический
натирка, натирочный
натр, натровый
натура, натурка, натурный
натурализм, натуралистический, натуралистичный
натурфилософия, натурфилософский
натюрморт, натюрмортный
натёк, натёчный
наугольник, наугольничек
наушник, наушнический
находка, находочка
национализм, националистический
национальный, нация
нацмен, нацменовский
начальник, начальничек
начальнический, начальничество
начальственный, начальство
начатки, начаточный
начинка, начиночка
начёс, начёсный
начёт, начётец, начётный
начётнический, начётничество
нашивка, нашивочка
наяда, наядовый
наём, наёмный
неандерталец, неандертальский
небесный, небо
небо, небушко
невод, неводный, неводок
невольник, невольничий
невроз, невротический
невропатический, невропатия
негативизм, негативистский
негритянский, негры
недовес, недовесный
недовесок, недовесочный
недоразумение, недоразуменьице
недостаток, недостаточек
недосылка, недосылочный
недоуздковый, недоуздок
недоуздок, недоуздочек
недоумие, недоумочный
незабудка, незабудочка
нейзильбер, нейзильберовый
некролог, некрологический
нектар, нектарный
нельма, нельмовый
немец, немчик
немка, немочка
неодарвинизм, неодарвинистский
неоклассицизм, неоклассический
неолит, неолитический
неплатёж, неплатёжный
непогода, непогодка
нептун, нептуновский
нептунизм, нептунический
нерпа, нерпичий
несчастье, несчастьице
нетопырий, нетопырь
нефтепромысел, нефтепромысловый
нива, нивка
нигилизм, нигилистический
низ, низок
низина, низинка
низинка, низиночка
низка, низочка
низок, низочек
никонианский, никонианство
нитролак, нитролаковый
нищенький, нищий
новелла, новеллистический, новеллка
новобранство, новобранческий
новокаин, новокаиновый
новоселец, новосельческий
нога, ноженька, ножонка
ногавка, ногавочка
ноготки, ноготковый
ноготь, ногтевой
нож, ножевой
ножечка, ножка
ножик, ножичек
ножницы, ножничный
ноздревой, ноздря
нолевой, ноль
нолик, ноль
номадный, номады
номенклатура, номенклатурный
номерок, номерочек
номинализм, номиналистический
нора, норка, норовой
норичник, норичниковый
норов, норовок
нос, носишко, носовой, носок
носки, носочки, носочный
носковый, носок
носок, носочек
носорог, носорожий
нотографический, нотография
нотопечатание, нотопечатный
ноумен, ноуменальный
ночлег, ночлежный
нудизм, нудистский
нужда, нуждица, нуждочка
нулевой, нуль
нулик, нуль
нуммулитовый, нуммулиты
нутриевый, нутрия
нырковый, нырок
нэп, нэповский
нюдизм, нюдистский
нёбный, нёбо
обвал, обвальный
обвалка, обвалочный
обвивка, обвивочный
обводнение, обводнительный
обвязка, обвязочный
обед, обеденный
обеденка, обедня
обеденный, обедня
обезьяна, обезьяний, обезьянка
обелиск, обелисковый
обер, обер-офицерский
обет, обетный
обжарка, обжарочный
обжиг, обжигальный
обжин, обжиночный
обжинки, обжиночный
обзаведение, обзаведеньице
обкатка, обкаточный
обкладка, обкладочный
обком, обкомовский
обкусок, обкусочек
облава, облавный
облегчение, облегчительный
облесение, облесительный
облов, обловный
облог, облоговый
обложечный, обложка
обломок, обломочек
обмер, обмерный
обмерка, обмерочный
обмотка, обмоточка
обмётка, обмёточный
обновительный, обновление
обновка, обновочка
обод, ободный
ободковый, ободок
ободок, ободочек
обоечный, обойка
обоз, обозик
обои, обойный
оболочечный, оболочка
обоняние, обонятельный
оборона, оборонительный
обочина, обочный
образ, образок
образец, образцовый
обрез, обрезный
обрезковый, обрезок
обрыв, обрывчик
обрывок, обрывочек
обсеменение, обсеменительный
обсерватория, обсерваторский
обскурантизм, обскурантский
обследование, обследовательский
обстановка, обстановочка
обстоятельственный, обстоятельство
обтачка, обтачной
обтяжечный, обтяжка
обтяжка, обтяжной
обувной, обувь
обух, обушный
обушковый, обушок
обходительный, обхождение
обшлаг, обшлажный, обшлажок
общежитие, общежитский
общественный, общество
объединение, объединённый, объединительный
объяринный, объярь
объём, объёмный
обязательственный, обязательство
обёртка, обёрточка, обёрточный
овечий, овца
овощеводство, овощеводческий
овощи, овощной
овраг, овражек
овсяный, овёс
овцеводство, овцеводческий
овчарный, овчарня
огарок, огарочек
огарыш, огарышек
оглобельный, оглобля
огневой, огонь
огнемёт, огнемётный
огонь, огонёк
огонёк, огонёчек
ограда, оградный
огузок, огузочный
огуменник, огуменный
огурец, огуречный
ода, одический
одеяло, одеяльный
однодворец, однодворческий
одёжа, одёжка
ожесточение, ожесточённый
ожидание, ожидательный
озеро, озёрный
озероведение, озероведческий
озимый, озимь
озлобление, озлобленный
озноб, ознобец, ознобный
озокерит, озокеритный
окисел, окисный
оккультизм, оккультный
околичности, околичный
околоток, околоточный
окоп, окопик
окорка, окорочный
окраина, окраинный, украинный
округ, окружной
оксидирование, оксидированный
октава, октавистый, октавный
окулировка, окулировочный
окуневый, окунь
окунь, окунёк
оленеводство, оленеводческий
оленевый, олень
олений, олень
олень, олешек
олива, оливковый
олимп, олимпийский
олимпиада, олимпиадный
омнибус, омнибусный
омонимика, омонимический
омуль, омулёвый
омут, омуток
ондатра, ондатровый
ономасиологический, ономасиология
ономастика, ономастический
ономатологический, ономатология
онтогенез, онтогенетический
онуча, онученька, онучка
оолитовый, оолиты
опала, опальный
опалка, опальный
опара, опарный
опахало, опахальный
опера, оперный
оперативный, операция
оперетка, оперетта
опереточный, оперетта
опилки, опилковый
опиловка, опиловочный
описание, описательный
оплётка, оплёточный
оповестительный, оповещение
опоек, опоечек, опойковый
